Index,Text
0,이제는 더 이상의 승리는 의미가 없는 게 아닐까.
0,"이미 수많은 칩을 쌓아 올렸고, 이제 이곳을 떠나기만 하면 나는 평생 돈 걱정 없이 살아갈 수 있는 부자가 된다."
0,"하지만, 정말 이대로 괜찮은 걸까? 애초에 내가 이 카지노에 온 이유는 무엇이었지?"
89,"나는 테이블에 몸을 기댄 채 숨을 고르며 에블린을 바라보았다. 게임이 진행될 때의 긴장감이 점차 풀리며 몸이 나른해지는 것이 느껴졌다. 그러나 그보다 더 신경 쓰이는 것은, 에블린의 표정이었다."
89,"평소처럼 장난기 어린 미소도, 능글맞은 태도도 아니었다. 마치 무언가를 결정한 사람의 표정처럼 차분하고도 의미심장한 얼굴."
90,"...이제, 정말로 마지막이네요."
89,그녀가 조용히 입을 열었다.
91,마지막?
90,"당신의 선택이, 여기에서 결정될 거예요."
89,"그녀의 손이 가볍게 허공을 가르자, 카지노의 조명이 일순간 흔들렸다. 보이지 않는 힘이 온몸을 옥죄는 듯한 느낌이 들었다."
90,"당신은 이곳에서 충분히 증명했어요. 하지만, 제게 중요한 건 단순한 승패가 아니에요."
89,그녀의 황금빛 눈동자가 깊게 빛났다.
90,당신의 진짜 욕망은 무엇인가요? 돈? 명예? 행복? 대부분의 인간은 이 중 하나를 선택하죠.
92,나는...
0,내 진짜 욕망. 그건...
