Index,Text
1,"대형 샹들리에에서 쏟아지는 황금빛 조명이 홀을 가득 채우고, 화려하게 반짝이는 슬롯머신의 불빛이 공간을 물들인다. 환호성과 탄식이 혼란스럽게 얽혀 있지만, 이제는 그조차도 익숙한 배경음악처럼 들릴 뿐이다."
2,"젠장, 이길 수가 없잖아!"
3,"형씨, 좀 살살해달라고, 지금부터 계속 이겨도 내가 잃은 게 더 많다니까?"
1,나는 테이블을 정리하며 피식 웃었다.
4,하하... 블랙잭은 제가 개입할 부분이 많이 없는데요.
3,에잉... 난 여기까지 한다.
2,"어어, 형님 같이 가요!"
1,"소란스러운 손님들이 하나둘 자리를 뜨고, 테이블 위에는 다시 적막이 내려앉았다. 나는 천천히 카지노 구석으로 걸어가더니, 눈에 익은 벽 앞에서 멈췄다. 주변을 한 번 둘러본 뒤, 벽 안으로 조용히 걸어 들어갔다."
104,...재미있었어?
7,귓가를 간지럽히는 장난스러운 속삭임. 익숙한 목소리에 나는 한숨을 쉬며 어깨를 으쓱였다.
16,뒤에서 갑자기 나타나지 말라니까.
105,"하지만, 매번 반응이 재미있거든. 밖의 일은 다 끝난 거야? 당신한텐 별것도 아니잖아?"
16,"에블린, 이기는 거랑 일이 많은 거랑은 다르다고... 나 좀 쉬고 싶은데."
15,그녀는 꼬리를 살랑이며 내 눈을 빤히 올려다봤다.
106,"그럼, 일 끝나면 데이트라도 하면 되겠네?"
108,"장난기 어린 말투였지만, 그녀의 검은 눈동자에는 살짝 기대감이 서려 있었다. 나는 피식 웃으며 그녀의 머리를 가볍게 헝클어뜨렸다."
107,...오늘 중요한 손님이 온다고 하지 않았어?
109,"아, 맞다. 그게 오늘이었구나."
108,에블린이 아쉬운 듯 입술을 삐죽이며 꼬리를 축 늘어뜨렸다.
109,"아니면, 땡땡이 칠래?"
107,저번처럼 게임 시간에 늦었다고 인간계로 뛰쳐나갈 손님이면 어쩌려고.
110,...설마. 악마들 중에서 그렇게 교양 없는 녀석들이 얼마나 된다고.
80,"눈을 마주치지 못하며 중얼거리는 그녀를 보고, 나는 피식 웃으며 머리를 한 번 더 쓰다듬었다. 손끝으로 느껴지는 부드러운 감촉이 기분 좋았다."
82,"아무튼, 다녀올게."
111,"넥타이를 고쳐 잡으며, 화려한 디자인의 문 앞에 섰다. 문을 열기 전, 나는 한순간 손끝을 멈추고 조용히 숨을 들이쉬었다."
111,"인간의 욕망은, 절대로 충족되지 않는다."
111,"하나의 욕망이 채워지면 더 큰 욕망이 속삭이며 유혹한다. 탐욕은 갈증과 같아서, 한 번 마시기 시작하면 더 깊은 늪으로 빠져들 뿐이다. 우리는 결국, 욕망이라는 늪에서 벗어날 수 없는 존재들이다."
111,"그리고 나는, 나의 욕망을 위해 이곳에서 게임을 계속한다."
111,"악마와 인간, 탐욕과 승부, 유혹과 파멸이 교차하는 이곳에서 나는 욕망을 위해 살아간다."
97,"문이 천천히 열리며, 다시금 화려한 불빛이 나를 맞이했다."
97,"익숙한 소리, 익숙한 공기. 그러나 언제나 새로운 게임."
97,나는 넥타이를 한 번 고쳐 매고 천천히 안으로 걸어 들어갔다.
