Index,Text
40,"좋아요. 당신, 꽤 잘하네요."
40,인간치고는 아주 괜찮은 실력을 가졌어요.
41,"그녀가 손가락을 튕기는 순간, 모든 것이 멈췄다."
41,"공기를 가르던 은은한 음악도, 카드가 섞이는 소리도. 
심지어 내 호흡조차 묘하게 무겁게 느껴졌다."
41,"시간이 멈춘 듯한 기묘한 정적 속에서 오직 에블린만이 
자연스럽게 움직이고 있었다."
42,이게.. 무슨..
41,"나도 모르게 중얼거렸다. 하지만 내 목소리조차 공허한 공간에 흩어질 뿐, 
아무런 반향도 없었다."
43,"약속한 대로, 제 ‘진짜’ 정체를 보여드릴게요."
41,"에블린이 한 걸음 내게 다가왔다. 길게 늘어진 흑발이 
은은한 조명을 받아 반짝였고, 그녀의 검은 눈동자가 깊이 빛났다."
43,"다시 한번 소개하죠. 내 이름은 에블린. 
인간의 욕망을 수집하기 위해 태어난 존재."
41,"그녀의 입술이 느릿하게 움직이며 이어진 단어는, 
내 머릿속을 싸늘하게 식혀버렸다."
44,"그러니까, 당신들이 흔히 말하는 ‘악마’ 같은 존재입니다."
45,심장이 한순간 덜컥 내려앉았다.
45,악마? 소설이나 영화에서나 나오는 비현실존재가 아닌가.
45,"하지만 지금의 현실이 알려준다, 이 공간에서 벌어지는 일이 
단순한 트릭이나 장치 따위가 아니라는 것을."
46,..악마라니.
45,"나는 입술을 굳게 다물었다. 부정하려고 해도, 
머릿속 어딘가에서 그것을 받아들이고 있었다."
45,"에블린은 천천히 꼬리를 흔들며 내 앞으로 다가왔다. 
검은 눈동자가 깊고 날카롭게 나를 꿰뚫었다."
47,믿기 어렵겠죠. 여기까지 온 인간들은 대부분 그랬으니까요.
48,그녀는 여유로운 미소를 지으며 말을 이었다.
47,"하지만 당신은 눈치챘잖아요. 
이곳에서 일어나는 모든 일이 단순한 장치나 속임수가 아니라는 걸."
48,"나는 무언가를 말하려다 입을 다물었다. 뭔가 확신이 필요했다. 
하지만 에블린은 그 반응마저도 흥미롭다는 듯 여유로운 미소를 지었다."
49,욕망을 수집한다는 게 대체 무슨 뜻이지?
51,인간들은 끊임없이 욕망해요.
50,그녀의 목소리는 부드럽고도 달콤했다.
51,"돈, 명예, 사랑.. 그리고 그보다 더 본능적인 것들까지. 
이 카지노는 그런 욕망을 모으기 위해 만들어진 공간이에요."
51,"여기서 사람들이 원하는 건 단 하나. 자신의 욕망을 이루는 것. 
하지만 그 욕망에는 언제나 대가가 따르죠."
50,"그녀가 손끝을 튕기자 카드 한 장이 내 앞에 내려앉았다. 
검붉은 문양이 음산하게 빛났다."
51,그 대가가 바로 제가 모으는 ‘재료’랍니다.
52,그게.. 영혼이라는 거고?
54,에블린은 장난스럽게 미소를 지었다.
53,꼭 영혼이라고 한정 짓진 않아요.
50,그녀는 턱을 괴고 나를 가만히 응시했다.
51,당신들이 가진 ‘갈망’과 ‘욕망’이 저에겐 더 흥미롭거든요.
51,"그 본질을 이해하고, 그 끝을 보는 것.. 그게 제가 존재하는 이유죠."
50,"잠시의 정적이 흘렀다. 에블린은 테이블에 몸을 기대며, 
여전히 검은 눈동자로 나를 탐색하듯 바라보았다."
51,하지만 당신은 다르네요.
50,그녀는 조용히 웃으며 말을 이었다.
51,보통 인간들은 이 이야기를 들으면 두 가지 반응으로 나뉘거든요.
51,하나는 살려달라고 비는 인간.
51,또 하나는 자신의 목숨값을 흥정하려 드는 인간.
51,"그런데 당신은, 두려움이 느껴지지 않아요."
50,그녀가 내 앞에서 몸을 숙이며 낮게 속삭였다.
51,오히려… 흥미에 가까운 감정이 느껴지네요.
55,"에블린이 다시 손가락을 튕기자, 정적이 깨지며 현실이 돌아왔다."
55,"음악은 다시 은은하게 공간을 채우고, 
공기가 다시 정상적으로 흐르기 시작했다."
55,나는 천천히 숨을 들이마셨다.
56,이 정도면 제 정체는 충분히 보여드린 것 같네요.
55,에블린은 손끝으로 테이블을 두드리며 나를 바라보았다.
56,이제 당신 차례예요.
55,그녀의 검은 눈동자가 깊은 기대감으로 빛났다.
56,"그 흥미를, 욕망을 마음껏 부딪혀 봐요."
56,당신이 어디까지 버틸 수 있을지.. 기대되네요.
