Index,Text
93,...그런가요.
95,에블린의 미소가 옅어졌다. 그리고 이내 사라졌다.
93,"결국 당신도, 평범한 인간들과 다를 게 없었네요."
96,"그녀의 말이 끝나자마자, 갑작스럽게 강렬한 빛이 시야를 덮었다. 
공중에 뜬 듯한 기분이 들었고, 머릿속이 새하얘졌다."
96,"모든 감각이 순식간에 희미해지며, 내가 누구인지조차 잊혀져 가는 것 같았다."
94,"그래도, 잠시 동안은 즐거웠어요."
97,"그 마지막 속삭임이 들려오고, 모든 것이 사라졌다."
0,...
0,.......
1,대형 샹들리에에서 쏟아지는 황금빛 조명이 메인 홀을 가득 채운다. 
1,"화려하게 반짝이는 슬롯머신 불빛, 사람들의 환호성과 탄식이 혼란스럽게 얽혀 있다."
1,그 모든 것이 마치 원래부터 그래야 했던 것처럼 느껴졌다.
2,벌써 일곱 번째 테이블이야...
3,설마 이번에도 이기는 건가?
1,"수군거리는 소리들이 귓가를 스쳤다. 하지만, 신경 쓰지 않는다. 오직 게임에만 집중할 뿐."
1,"딜러와 나, 마지막 두 사람만이 테이블에 남았다. 
이제 스테이를 외치기만 하면 내 승리로 끝날 게임."
1,그러나...
4,...히트.
5,"플레이어 버스트, 딜러 승리입니다."
2,"뭐야, 실수한 거야?"
3,"이번엔 운이 안 좋았나 보네, 형씨?"
1,"주변이 술렁였다. 분명, 방금 스테이를 선언했다면 내가 이겼을 텐데. 그런데... 왜?"
1,"어지러움이 몰려왔다. 무심코 주머니에 손을 넣었다. 그리고, 손끝에 걸리는 차가운 감촉."
98,검은빛으로 반짝이는 칩.
98,"하지만, 이곳에서는 본 적이 없는 디자인이었다."
98,"무엇인가 잊은 것만 같았다. 중요한 무언가를. 
그러나 아무리 떠올리려 해도 머릿속이 텅 비어 있었다."
0,"그저, 카지노의 공기 속에서 알 수 없는 허전함과 공허함이 가슴을 조여올 뿐이었다."
