Index,Text
99,...좋은 대답이네요.
100,"눈앞의 공간이 일그러지더니, 우리는 다시 테이블 앞에 마주 앉아 있었다. 에블린이 천천히 내 앞으로 몸을 기울였다."
101,축하해요. 당신은 합격이에요.
103,나는 아직 상황을 이해하지 못한 채 그녀를 바라보았다.
102,...합격?
28,에블린은 장난스럽게 웃으며 말했다.
27,"제안을 할게요. 당신, 이 카지노에서 저와 함께 일해보지 않겠나요?"
29,여기서... 일한다고?
27,당신은 이미 충분한 재능을 증명했어요. 이곳에서 가장 중요한 건 바로 '욕망'. 그리고 당신은 그걸 가졌죠.
28,그녀는 손가락으로 내 가슴을 가볍게 툭툭 건드렸다.
27,"당신의 욕망은 단순한 탐욕이 아니에요. 순수한 승부욕, 그리고 한계를 시험해보고 싶은 갈망... 이런 순수한 욕망들은 이곳에서 아주 중요한 자질이죠."
28,그녀는 나를 바라보며 천천히 미소를 지었다.
27,그리고 말이죠... 악마라고 해서 인간과 다를 건 없어요. 우리도 욕망을 가지니까요.
28,에블린은 자신의 꼬리를 살짝 흔들며 속삭였다.
24,"그러니까, 당신이 계속 제 곁에 있어줬으면 좋겠어요."
26,"그녀의 황금빛 눈동자가 깊어졌다. 장난기가 가득한 미소였지만, 그 안에는 분명한 진심이 담겨 있었다."
26,나는 피식 웃으며 말했다.
25,이런 제안은 처음이네.
40,선택은 당신의 자유예요. 물론 저는 당신이 제 곁에 있길 바라지만요. 욕망이 가장 중요하다고 했죠. 아마... 이건 소유욕일지도 모르겠네요.
39,"잠시 생각을 정리한 후, 나는 테이블 위의 카드를 가볍게 집어 들었다."
102,....재밌겠는데.
22,에블린은 만족스럽다는 듯 환한 미소를 지었다.
