Index,Text
1,"대형 샹들리에에서 쏟아지는 황금빛 조명이 홀을 가득 채우고, 화려하게 반짝이는 슬롯머신의 불빛이 공간을 채운다."
1,"환호성과 탄식이 혼란스럽게 얽혀 있지만, 이제는 그조차도 익숙한 배경음악처럼 들릴 뿐이다."
2,저 사람은 대체 뭐야?
3,벌써 여섯 테이블째... 무슨 수를 쓰고 있는 거 아냐?
1,수군거리는 소리를 흘려듣는다. 익숙한 반응이다. 
1,하지만 내가 신경 쓸 이유는 없다. 오직 게임에만 집중할 뿐.
1,테이블 위에는 나와 딜러만이 남았다.
1,다른 플레이어들은 이미 패배를 인정하고 물러났다.
1,하지만 굳이 마지막 한 장을 확인하지 않아도 결과는 정해져 있다.
1,"이 게임, 내 승리다."
4,스테이.
1,"딜러의 손이 떨린다. 
미세하게 흐르는 땀방울. 
망설이는 손끝."
1,"마지막 카드를 뒤집는 순간, 침묵이 내려앉는다."
5,...버스트네요. 플레이어의 승리입니다.
1,순간 홀 안이 술렁인다.
3,"어이, 형씨! 이거 사기 아니야?"
3,"아무리 블랙잭이 승률 높은 게임이라지만, 이렇게 연승하는 건 말이 안 되잖아!"
1,나는 한숨을 쉬며 고개를 저었다.
4,사기라뇨? 상황과 패를 보고 판단하는 것뿐이라니까요. 
4,"그리고, 저는 제 카드를 만질 때 빼고는 테이블 위에 손을 올려둔 적도 없다고요. "
4,생사람 잡지 말고 할 일이나 하세요.
1,"물론, 거짓말이었다."
1,나는 사기를 쳤다.
1,"오랜 시간 연습해온 기술. 
손기술을 익히다가 잡혀 목숨을 잃을 뻔한 적도 있었다."
1,하지만 그 모든 경험이 오늘의 나를 만들었다.
1,입안이 바싹 마른다. 나는 자연스럽게 테이블 옆에 놓인 칵테일을 들어 올렸다.
1,부드럽고 달콤한 향이 코끝을 스친다. 마치 내 승리를 축복하는 듯한 맛.
1,...잠깐.
6,칵테일?
6,나는 이런 걸 시킨 적이 없는데?
1,"의문이 드는 순간, 몸이 휘청였다."
1,"귓가에서 웅웅거리는 소리가 점점 멀어지고, 시야가 흐려진다."
1,쿵.
